Tweet,Offensive,Hate
RT @USER: يا ماجد مساعد يا نائب يا رجال <LF>ما يجي مثل شرواك ايْت اشكُوك<LF>حتى لو قالو تضخمت عندك الأموال<LF>انت ملكت من الطيب حزمة صكوك<LF>@USER…,NOT_OFF,NOT_HS
RT @USER: يا زول يا رائع ومهموم<LF>يا مضيع ضي عينيك وراك<LF>واقف حاحاي النوم<LF>يا مستف رئة الدنيا شهيق<LF>ومشحتف روح الخرطوم<LF>#اعتصام_القياده_ا…,NOT_OFF,NOT_HS
في وجودك ليه انا اكمل كلامي اعشقك من الفرح لين العنا .. اشبهك في كل شي الا الاسامي يا انا يا انت يا انت انا ♥️♥️🎻,NOT_OFF,NOT_HS
RT @USER: #صباح_الثلاثاء<LF>حبيبي يا ساحر البسمة يا أهلي <LF>سلطان الهيبة .<LF>فلتسمع صدق اقوالي<LF>همس كلما تي <LF>انت ملك الأندية <LF>انت سيد الأندية <LF>و…,NOT_OFF,NOT_HS
أبي يا نعمتي الراحله و يا أطهر قلب ذهب بلا عودة لقد تركت فراغ بقلبي لا يسّده أحد، رحم الله روحاً هزّني الحنين إليها اللهم ارحم أغلى ما فقدت.,NOT_OFF,NOT_HS
يالليله يا كئيبه يا حزينه يا ثقيله عديييييي .,NOT_OFF,NOT_HS
RT @USER: #الاتحاد_النصر<LF>يا اتهاد يا اتهاد يا اتهاد ياتهاد <LF>باكلك هبه هبه باكلك اكل البرشومي<LF>😂😂😂😂😂,NOT_OFF,NOT_HS
@USER <LF>فين GoT يا حرامية يا نصابين يا لصوص!؟,OFF,NOT_HS
RT @USER: يا ليتكم يا اهل الوفا ما تموتون <LF>و لا الردي حتى .. المنايا تعافه,NOT_OFF,NOT_HS
RT @USER: @USER | 5 - 21 <LF>شهرج ياشعاع الضوّ في ظلماي يا آخر طريقي ياحقيقي في زمن كذاب يا أجمل فرج // يا أكبر الأبواب في تاريخ ضيقي❤️,NOT_OFF,NOT_HS
يا عمرررررررري يا بو شعر ثاير 😭😭😭😭💛💛💛💛,NOT_OFF,NOT_HS
RT @USER: هي مش هتلحق تكمل باقي طلباتها عشان هتكون يا في المستشفي يا اما بتتغسل علشان حتي كلمه طالق مش هتسمعها من شدة الغضب URL,NOT_OFF,NOT_HS
RT @USER: يا دان يا بليزريان عيييب كدا رااعي شعورنا 😂😂😂😂💔 URL,NOT_OFF,NOT_HS
اللهم صفي قلوبنا واغسل ذنوبنا واستر عيوبنا وزكي نفوسنا <LF>اللهم اجعلنا ممن طاب ذكرهم وحسنت سيرتهم واستمر أجرهم في حياتهم وبعد موتهم<LF>اللهم يا ودود يا ودود أسألك لي ولاحبتي لذة السجود ودعاء غير مردود وفرج ورحمة منك يامعبود وابعد عني وعنهم البلاء 💕,NOT_OFF,NOT_HS
RT @USER: @USER @USER صباح الورد يا بن العم يا مرحبا بالغالي🌹,NOT_OFF,NOT_HS
يا البعيد اللي هناك، يا القريب اللي هنيّا💕,NOT_OFF,NOT_HS
شخصية خيالية ممحونة: حقوق المماحين!<LF>إنسان حقيقي ممحون: يا ممحون يا حيوان تعال اقطع لك زبك حتى لو جحر فار تبغا تنيكو يا ممحوون قال نفسي اتمتع قال,OFF,NOT_HS
RT @USER: اصعد يا صوت الشعب اصعد يا حبيب الشعب #اسقاط_القروض_لليوم_131,NOT_OFF,NOT_HS
@USER مش دي برضه اللي قالت يا صغنونة يا صغنونة بكرة نأبك يجي علي شونة 😂😂,NOT_OFF,NOT_HS
@USER يا جدعان العلق دا لسه بيقولي هذاكر الاسئلة كفاية ، و راح فتح تويتر .. يا فاشل .. يا فاشل يا فاشل يا فاشل 😂😂😂,OFF,NOT_HS
@USER اعلامي هلالي وش ترجي منه اي والله الى قال محمد العويس حراق🔥🔥🔥حارق قلبك يا زقان يا المطيًويع من حرق عساه للحرق يا رب جعلني اشوف فيك يوم اسود انت وعائلتك يا ابن الكلب,OFF,NOT_HS
يا مذهله مدري يا بنت النور<LF>غيبتك ما ملّت مكابرها؟<LF>طال السفر يا حبي المغرور<LF>وصلتي اشواقي .. لأخرها<LF>ترا الصبر والموعد المهجور<LF>يقتل هوى النفس ومشاعرها<LF>انتي قصيدة بكّت الجمهور<LF>وشلون اجل سوّت بشاعرها💛💛.,NOT_OFF,NOT_HS
@USER ما شاء الله تبارك الله عساك عالقوة يا بطل و للأفضل يا رب,NOT_OFF,NOT_HS
هما بيعملوا ايه !! انت يا حيوان انت يا اطرررش انا بسقط هنااااا URL,OFF,NOT_HS
RT @USER: @USER انت والتيم بتاعك يا عبيد الفولورز يا سفله<LF>#اهلي_كمل_الصداره,OFF,NOT_HS
@USER @USER @USER @USER @USER يا لبناني يا فضلات الاستعمار الفرنسي اللبنانيين بالخليج يشغلون نسوانهم عاهرات,OFF,HS
RT @USER: كل حركة ، كل همسة ، كل فكرة، كل نية ، كل كلمة ، كل لحظة حتتسجل ف كتاب و محسوبة يا علينا يا لنا .. لازم نستوعب انه ورانا الكثي…,NOT_OFF,NOT_HS
يا كبر الفقد و يا قلة الحيلة 💔,NOT_OFF,NOT_HS
@USER يا افنان يا نفسيه عيب عليك,NOT_OFF,NOT_HS
RT @USER: اشرس مشكل بتاريخ لبنان على الجديد😂😂😂😂😂😂😂😂😂لك شو هالاسمو لك روح يا يا يا يا روح يا 😂😂 #لهون_وبس,NOT_OFF,NOT_HS
ف يا ربي يا رحمن تجمع شملنا <LF>قبل الممات ولو بيوم واحدِ,NOT_OFF,NOT_HS
أمي <LF>أحبك يا حبة الرمان يا السما الزرقاء الصافية يا أجمل ما في الوجود يا من حضنها أمن وأمان واطمئنان لا حرمني الله منك أبدا يا سبب سعادتي وعافيتي وبهجتي لولاك ما كان لحياتي معنى أحبك وأتمنى رضاك عني,NOT_OFF,NOT_HS
المفروض يكون الشوق عادل يا يمر القلبين يا انو ولا واحد .,NOT_OFF,NOT_HS
@USER وإياكِ يا رب ويسعدك يا داليا ❤❤,NOT_OFF,NOT_HS
تذاكر يا هانم ..... تذاكر يا بيه _ بالكلمات _ باداء خيالي ل عبير الشاذلي URL via @USER,NOT_OFF,NOT_HS
@USER يا قدس، يا مدينة الأحزان <LF>يا دمعةً كبيرةً تجول في الأجفان <LF>من يوقف العدوان؟ <LF>عليك، يا لؤلؤة الأديان <LF>من يغسل الدماء عن حجارة الجدران؟ <LF>من ينقذ الإنجيل؟ <LF>من ينقذ القرآن؟,NOT_OFF,NOT_HS
ايش الاكل الحلو ذا ياسُميه تسلم يدك ياعسل ياقشطه ياحلوه ياسُكره يا طباخه يا فنانه يا كل شي💛.,NOT_OFF,NOT_HS
=- يا تسامح وتنسى يا تعاتب وتصفى يا تغور وتخفي.👌💛,NOT_OFF,NOT_HS
يا أم العيون الخجْلا يا نبض <LF>صدر نجد العذّيه 🌿..,NOT_OFF,NOT_HS
@USER فين يا ابن القحبه يا معرص السودان مش هيعملوا اَي شي من مخططكم هاهاهاهاها و لسه يا خونه,OFF,NOT_HS
حقيقي ✋️ <LF>حلو انك ميجيش فيك اجوان عشان متخسرش !ده بديهي يعني <LF>بس حرفياً الزمالك بيطلع دين امي قدام و مش حلو نفضل ماشين بمبدأ يا نكسب يا نتعادل المهم منخسرش ..,OFF,NOT_HS
RT @USER: إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي 😁😁🐒…,NOT_OFF,NOT_HS
RT @USER: لازم تراعو مشاعر الناس اللى بمليون مود فـ الدقيقه اللى يا بتتكلم كتير يا بتسكت خالص اللى ممكن يومهم يتقفل بكلمه اللى اقل حاج…,NOT_OFF,NOT_HS
RT @USER: انا هالفتره يا نايمه يا فيني نوم يا بنام ..,NOT_OFF,NOT_HS
@USER @USER اه كدب وتزوير، لان الحكم جه علينا وعليكوا، احسب كورة اغادير واحسب كورة ابراهيم حسن هنتاهل ب 2/1<LF>اطرد علاء واطرد قصاده اللاعب رقم5<LF>مش حراق برضه يا نمس انت يا نمس مال الحكم والمخرج بقى بتاهل الزمالك المستحق او الغير مستحق,NOT_OFF,NOT_HS
RT @USER: بطلو انانيه يا شعب يا انصرافي ويلا على صفوف عيشكم وبنزينكم,OFF,NOT_HS
صباح الخير يا مصحصح يا عسل يا ورد متفتح<LF>انا أبى نهاري خير قلت برقمك اتصبح<LF>#صباح_الاثنين,NOT_OFF,NOT_HS
كملنا سنتين مع بعض يا اجمل اقداري يا اجمل ماحصل بدنياي ياحاجة ضوت سنين عمري سنتين وانا عايشه بالهنا كملنا سنتين بحلوها💙.,NOT_OFF,NOT_HS
@USER الله عليكي الله يا بنت مصر يا مقاتله يا شريفه,NOT_OFF,NOT_HS
RT @USER: ورجعت الصداره لزعيمها <LF>يا رب تمم يا رب تمم يا رب تمم,NOT_OFF,NOT_HS
يا اجمل الأيام يا يوم الخميس<LF>يا اروع واجمل يوم بعيون الملا<LF>يا درة ألاسبوع ياليوم النفيس<LF>الكل بقدوم يرحب/يا هلا<LF>#هلا بالخميس URL,NOT_OFF,NOT_HS
@USER عليك لعنه الله يا فتنه الفتنه اشد من القتل انت محرض من النوع الاخوانجي سلمان الحزم سلمان الانسانيه سلمان من دمر كم يا اخوانجي يا شيعي يا ابن موزه عاش سلمان الحزم عاش عاش ملك العرب URL,OFF,HS
يا وصفة الحب يا دكتوري و طبي💘,NOT_OFF,NOT_HS
RT @USER: 🌹<LF>🌸 يا أمينَ اللهِ يا شمسَ الهُدى <LF> يا إمامَ الخَلْقِ يا بحرَ الندى 🌸<LF>🌸 عجِّلَنْ عَجِّلْ.. فقد طال المَدى <LF> وآضْمَحَلَّ…,NOT_OFF,NOT_HS
ياما قالو الهوا غلاب .. ولا مرة حسبنا حساب .. نبعد يا هوى يا هوى يا هوى 🖤,NOT_OFF,NOT_HS
يا مَنِ اسْمُهُ دَواءٌ وَذِكْرُهُ شِفاءٌ وَطاعَتُهُ غِنىً، اِرْحَمْ مَنْ رَأْسُ مالِهِ الرَّجاءُ وَسِلاحُهُ الْبُكاءُ، يا سابِـغَ النِّعَمِ، يا دافِعَ النِّقَمِ، يا نُورَ الْمُسْتَوْحِشينَ فِي الظُّلَمِ، يا عالِماً لا يُعَلَّمُ، صَلِّ عَلى مُحَمَّد وَآلِ مُحَمَّد <LF>صباح الخير,NOT_OFF,NOT_HS
@USER @USER يا بعد هالدنيا يا مجيد ❤️❤️,NOT_OFF,NOT_HS
صبحت بالخير يا رمش أتذرى به يا قلب أحبه ولا لي عن طريقة مفرررر,NOT_OFF,NOT_HS
RT @USER: يا اَبَا الْحَسَنِ يا عَلِيَّ بْنَ الْحُسَيْنِ ، يا زَيْنَ الْعابِدينَ يَا بْنَ رَسُولِ اللهِ يا حُجَّةَ اللهِ عَلى خَلْقِهِ…,NOT_OFF,NOT_HS
"@USER @USER أولا يا إبن الشرموطة السعودية , ليش تتكلم مصري , يمكن أمك ناكها حارس العمارة المصري جنبكم مسكينة مبس داعس على وجوهكم يا كلاب يا بدو يا معفنين تبي فلوس على تأكلكم من عرق طيزها ههههههه, والله لأجيك يا إبن الشرموطة البدوية لأنيكك و إحشي كس",OFF,HS
@USER يا بجم يا عجم يا نجم كلنا فالهوا سوا,OFF,NOT_HS
RT @USER: ربي يا قابض يا باسط يا معطي ارزقني رزقاً واسعاً عاجلاً غير آجل وهب لي من لدنك ملكاً ورزقاً تذهل به الأعين وتفرح له الأنفس وتذك…,NOT_OFF,NOT_HS
"صاحباتي و أقاربي اللي من نفس عمري و عايشين و مستقرين برا ""المنكوبة "" عايشين حياتهم و ينك يا سفر يا سياحة يا تجارب يا تعليم يا لغات ،عايشين عمرهم بجد و بكل تجاربه حب/حزن/خسارة ! الا انا! نقعد نحسب امتي بتصير حرب تانية ؟ من بيخش علي من و من بيطهر و يحرر من ؟ قعدت في نفس الدوامة !!",NOT_OFF,NOT_HS
@USER ده إحنا حاجه فظيعه يا شيخه يا ساتر علينا 🤣🤣🤣,NOT_OFF,NOT_HS
يا مبتدأ يا منتهى .. يا آخري يا أولّي💙,NOT_OFF,NOT_HS
RT @USER: فز يا خفاق و أهدأ يا شعور<LF>واحتفظ في كل وقتك بالوقار<LF>**<LF> لو يفوح العود الأزرق بالبخور<LF>ولو يذكرك المسا شوق النهار<LF>**<LF>فيك لا ي…,NOT_OFF,NOT_HS
@USER @USER @USER اليورباليغ بياخذه يا ارسنال يا تشيلسي خذها مني وتاهلنا للرابع مابيكون له فايده,NOT_OFF,NOT_HS
يعني ما افهم حقيقي تضاربوا يعني خلاص حنكون زيهم؟ حفلهم كان بقاعه والاهالي كلهم موجودين واحنا بمدرسه وبس شخص واحد يا ام يا اخت تجي معك واحس يارب انك تلعنها اذا حتى على الاشياء الحلوه تنكد علينا فيها الجزمه,OFF,NOT_HS
RT @USER: انفروا يا رجال الله يا كل واثق<LF>ندحر العاصفه يا عز قوم اصيله<LF>في زمان الكرامه بل و كشف الحقايق<LF>با نخوض المعارك…,NOT_OFF,NOT_HS
يا ترى مخبيلنا ايه يا چون سنو انت و الكلبوبة اللي جنبك دي,OFF,NOT_HS
@USER شكلك فرحان يا عبدالرحمن يا اخي انت يهودي و لا ايش ملتك مستحيل تكون مسلم,OFF,HS
@USER @USER بلوك يا برنس يا خويا ومالوا مش عيب 😀,NOT_OFF,NOT_HS
@USER @USER @USER @USER @USER @USER @USER @USER واحد يسأل لبنانية ايش اسمك. قالت (يارا ياسين ) <LF>وانته شو اسمك <LF>قال. يا حاء. يا جيم<LF>😂😂😂😂😂😂😂😂<LF>🏃🏃🏃🏃🏃🏃🏃🏃<LF>من الامراض التي ليس لها علا,NOT_OFF,NOT_HS
@USER يا اوباما يا جبان يا عميل الامريكان 😂,OFF,NOT_HS
RT @USER: يا ساتر يا ساتر يا ساتر URL,NOT_OFF,NOT_HS
يا تكون قد الحياة يا تعييش وحيد وسط الدروب❤💔 @USER,NOT_OFF,NOT_HS
@USER اهل اول .. يا فل يا كادي يا كمل,NOT_OFF,NOT_HS
بقيلك قلقانه وانت تفوت تنام .. يا سلام على حبك يا سلام,NOT_OFF,NOT_HS
يا علاج الروح يا غاية فوادي🖤.,NOT_OFF,NOT_HS
RT @USER: @USER هل مازال يوجد مدنيون بعد قتلكم لهم وتدمير بيوتهم يا قتلة يا عملاء يا مأجورين يا عبيد الامارات ومصر والس…,OFF,HS
يا صباح الخير يا صباح الحب يا صباح الربيع<LF>💛😎<LF>#عيش_الآن URL,NOT_OFF,NOT_HS
أوّاه يا ضحكتك .. وأوّاه يا ظني<LF>كم مرةٍ قلت ما أحبه وأنا أحبه,NOT_OFF,NOT_HS
اسحب مارسيال وعطنا لوكاكو يا سولشاير يا بزر يا زق,OFF,NOT_HS
RT @USER: صباح الخير يا مصر. صباح الخير يا أم الدنيا URL,NOT_OFF,NOT_HS
@USER يا هند يا قمر وانتي طيبة يا حياتي 💖💖<LF>وانا كمان والله مبسوطة اني عرفتك جدا,NOT_OFF,NOT_HS
@USER ربنا معانا كلنا <LF>ويهديكي ويصلح حالك يا سوما يا بنت ام سوما ⁦😂,NOT_OFF,NOT_HS
RT @USER: احلى فاصل يا فيصل واحلى سلطنه يا سلطان💔💔💔<LF>#الشباب URL,NOT_OFF,NOT_HS
@USER @USER معاد يمديك تغيرين الموضوع هههههههههههههههههههههههههههههههههه يا سلقه يا حمير 🦓 طبعا بدري عليك تفهمين وش قصدي 💦الخلا,OFF,NOT_HS
M_alumri من صورته تخاف دول وجيوش # مهيب زربتن متجمعه وسط قمامه <LF>عز يا اميرنا يا امير الشباب حارقهم وجايب لهم غصه <LF>حي ذا الراس URL,NOT_OFF,NOT_HS
مسلسل سقوط ايه يا ايمن يا كاشف يا خول!,OFF,NOT_HS
@USER يووووه يا القوه يا النيلو عقبال كل المواد❤️,NOT_OFF,NOT_HS
الله ياخذك يا أليغري يا جبان يا حمار,OFF,NOT_HS
الله يرحمك و يغفرلك يا امي يا اطيب و احن قلب كان في الدنيا 💔,NOT_OFF,NOT_HS
"@USER بعد اذنك يا شيخنا يا ريت تفسير ل "" قهر الرجال "" اكثر .. و جزاك الله عنا كل خير",NOT_OFF,NOT_HS
RT @USER: #صباحكم_ورد <LF>يا صباح الورد <LF>يا ورد الصباح ..<LF>ياصباحٍ فيه روحي هايمة ..<LF>عجلي فْـزي ترى <LF>كلي جراح ..<LF>وش يفيد الصبح وانت…,NOT_OFF,NOT_HS
@USER يا لهوي يا لهوي يا لهوي بقى ♥️ قنبلة حب 🙈♥️,NOT_OFF,NOT_HS
RT @USER: أستودعتك اللهم نفسي و أهلي و أحبتي و جميع ما وهبتني و أعطيتني في أمانتك و حفظك يا خير حافظ و يا أرحم الراحمين,NOT_OFF,NOT_HS
ما أدري أقول يا حظّه بالرياض<LF>ولّا يا حظ الرياض فيه ❤️❤️❤️.,NOT_OFF,NOT_HS
يا معاليك @USER يا استاذ يا بش مهندس يا مواطن يا حضرة المسؤول!! لأيمتى السكوت.. اذا خايفين يبطلوا يستوردو من عنا انا بغطي النقص بميزان التجارة!! بس احكو كلمة عالقليلة!! URL,NOT_OFF,NOT_HS
يا ديفيد يا لويز يا خول,OFF,NOT_HS
يا رب يخليكي يا ست الكل<LF>ويجعل ختام اليوم انتصار زمالكاوي ونفرح كلنا ان شاء الله <LF>🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹 URL,NOT_OFF,NOT_HS
@USER يا هلي يا روح داري يا شموخي يا عُلُوّي يا بقائي <LF>يا إزدهاري أحبك ، الله يديمك ولا يحرمنا منك 🤴🏻♥️,NOT_OFF,NOT_HS
RT @USER: يا كل عمري، يا ابتهاجي، يا فرحي.<LF>يا من نبض لأجله خفوقي بالاضلاع ♥️,NOT_OFF,NOT_HS
تصرفاتي في الحياة ، يا اجي كلّي مندفعه يا اختفي تمامًا. الوسطيه اسمع عنها بس ماحصل لي شرف لقاءها حتى الآن,NOT_OFF,NOT_HS
يا ليلي يا ليلا ليه النفس بقت شايلة 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,NOT_OFF,NOT_HS
اه يا اتي يا اتي يا زين <LF>اه يا اتي يا ضي العينين<LF>جده تغنت واطربت يا فرحها <LF>شعارك البراق زاد بحسنها<LF>اتحاد العب واحنا لك سند <LF>💛💛💛💛💛💛💛<LF>#الاتحاد_النصر .,NOT_OFF,NOT_HS
يا ريم يا سارح<LF>قلبي معك رايح<LF>ترى الهوا جارح<LF>حرام تجافينا ،،<LF>URL URL,NOT_OFF,NOT_HS
قلن يا قمر ما نسينا يا قمر روح قلن,NOT_OFF,NOT_HS
@USER يا راشد يا مقرف يا جبان للأسف هذه تسمى خسة من شخص أحمق,OFF,NOT_HS
يا كم مرو علي يا غالية غالين<LF>ما هم ب كرام بس مرو مرور أكرام,NOT_OFF,NOT_HS
RT @USER: يا وليفي وميلافيّ يا جر الونّه ودقة عود.,NOT_OFF,NOT_HS
يا انا سخيفه يا الفيديوات صج تضحك😂😂😂😂😂😂😂😂😂,NOT_OFF,NOT_HS
ازاي يا حبيبي يا عمري يا أغلى الناس في عنيا ؟,NOT_OFF,NOT_HS
RT @USER: RT يا جماعة. يا جامع يا رقيب URL,NOT_OFF,NOT_HS
"RT @USER: كوفيان با ""ظهور"" حسين(ع)<LF>و ما با ""غيبت"" تو <LF>امتحان شديم !<LF>براستي كداميك سخت تر است؟!<LF>ظهور يا غيبت ؟<LF>العجل يا مولا<LF>#MahdiSon…",NOT_OFF,NOT_HS
يا نعلي يا حضي لسود 🖤,OFF,NOT_HS
يا فرحتي يا سلوتي يا ضحايا,NOT_OFF,NOT_HS
يارحيم ياكريم يا قوي يا متين يا عليم يا قدير يامن لا إله غيره ياحي يا قيوم.,NOT_OFF,NOT_HS
RT @USER: انا هنا شبيت يا وطني <LF>زيك ما لقيت يا وطني <LF>انا بفخر بيك يا وطني<LF>بالروح افديك يا وطني<LF>❤️💚🖤❤️💚🖤,NOT_OFF,NOT_HS
RT @USER: مهووو يا تلعبوو بروح التيشرت يا تمشوو<LF>الاهلي مبيوقفش ع حد<LF>كان وقف ع صالح سليم وتريكه والخطيب كان وقف ع كتيرر<LF>💪✊👏👑❤ #ال…,NOT_OFF,NOT_HS
مبروك يا رجال مبروك يا كبير مبروك يا عميد وفالكم البقاء 🖤💛. <LF>@USER,NOT_OFF,NOT_HS
@USER نزلت امبارح وشكلي مش هروح تاني اه يا ضلوعك يا رضا بموت 😭,NOT_OFF,NOT_HS
يا الخرطوم يا العندي جمالك جنه رضوان طول عمري ما شفت مثالك في اي مكان.. URL,NOT_OFF,NOT_HS
أمواج عاليه تحاول زحزحه شموخك يا بغداد خونه ومارقين عملاء حاقدين فاسدين كلهم من طينه الغدر والخيانة ولكن هيهات أن تسلمي وتركعي أمام هولاء الانذال صباح الخير يا عراق صباح الورد يا بغداد صباح الأنوار على قلب كل إنسان نقي أسعد الله صباحكم أحبتي URL,NOT_OFF,NOT_HS
@USER حبيبي يا علاء يا بن الغالي و الغاليه,NOT_OFF,NOT_HS
RT @USER: يا ابو ثلاثة يا ابو ثلاثة سرى الليل يا ابو ثلاثة. <LF> #الاتحاد_النصر URL,NOT_OFF,NOT_HS
@USER @USER يا يزيد يا يزيد ما شاءلله عليك ♥️,NOT_OFF,NOT_HS
ياريت يا وحشين يا بتوع الحوارات يا كلاب URL,OFF,NOT_HS
@USER قوية فيهم ناس كويسة يا عيت ملائكة انتو ياطيبين يا متحضرين يا نيويوركيين يلي مافيش زيكم,NOT_OFF,NOT_HS
RT @USER: @USER والله من انزه الحكام لكن هم اذا حكم ما يصفر لهم 100% يكون مرتشي حسب رايهم يا تكون معانا يا تكون مرتشي…,NOT_OFF,NOT_HS
يا حسافة الفرحه يا بيب 😂😂😂😂😂😂😂😂😂😂😂,NOT_OFF,NOT_HS
"RT @USER: اللهم يا الله <LF>""لا تتركني يا الله اتبع شيئاً ليس لي ؛ واحب شيئاً لا تحبه ، لا تجعلني احلم بما اشاء ؛ ولكن اجعلني احلم بما ش…",NOT_OFF,NOT_HS
RT @USER: #الإخوان_المسلمين في #السودان واقفين مع الجيش وبيدعموه.. تاني يا زكي.. تاني يا هايف يا تافه.<LF>#بالملليميتر_يا_حبيبي,OFF,NOT_HS
@USER تفو عليك يا بقرة يا نعال يا واطي يا منحط,OFF,NOT_HS
@USER @USER من انتم يا حشرات يا عديمي الاصل والاخلاق لتقسموا البشر بطريقتكم الغبية هذا ان دل يدل على انكم بلا اصل ولذلك تششكون في اصول الناس وتودون ان كل الناس تصبح مثلكم بلا اصل لكي لا تكونوا الوحيدون,OFF,NOT_HS
آه يا قصر المسافه و يا طول تعبي<LF>و الهبوب إن فرع الجرح جمره كاويه <LF>آتطوى كني القاع لا هجهج ظبي<LF>كل ما أصرد بعيني تضيق الزاويه ..,NOT_OFF,NOT_HS
اخص يا اكسو يا مشاهير انتم URL,NOT_OFF,NOT_HS
RT @USER: @USER هم يا يفوزون يا السالفه مغشوشه دلوعين حيل وش زيننا امس رضينا وما جدعنا حتسي على رئيسنا ومدربنا🚶🏻‍♀️,NOT_OFF,NOT_HS
@USER يا بنتي خدي قلبي يا بنتي مش عوزاه❤,NOT_OFF,NOT_HS
يا اويحيى يا الكلب تفوووو<LF>سامحوني خاوتي حاشاكم زاد جاني فالبال,OFF,NOT_HS
نمت ساعه وكل شيء احسه يا أرق يا ابن الكلبة مو وقتك ورب البيت مو ناقصتك,OFF,NOT_HS
@USER اللهم اجمعني بمن احب🌹... و انت يا ريان يا رب يسعدك و يوفقك و يسهل أمرك,NOT_OFF,NOT_HS
@USER #قدح_وجم - القط بيحب خناقه<LF>- قط بسبع أرواح<LF>- إن غاب يا قط إلعب يا فأر<LF>- زى القطط تأكل و,NOT_OFF,NOT_HS
RT @USER: يا جماعة نحن بالظبط في الحته دي يا نواصل يا نرجع ونكون قطعنا مشوار عالفاضي<LF>#اعتصام_القيادة_العامة URL,NOT_OFF,NOT_HS
RT @USER: اللهم اجعل قبره روضة من رياض الجنة، ولا تجعله حفرة من حفر النار واغفر له يا رحمن وارحمه يا رحيم وتجاوز عمّا تعلم ياعليم امي…,NOT_OFF,NOT_HS
RT @USER: يا هايف الخصريـن يا منـور بالبيت<LF>يا جيد ريم نافل عن مثيلاته<LF>وعيون حور تحيي بها وتميت<LF>نظرتك تشفي صويب منك ويعاته<LF>إرحم رحمك…,NOT_OFF,NOT_HS
RT @USER: كفاية وساخة با سيبو جروس يكمل شغل علي نضافة ولة الحتة الأهلاوية ظهرت عندك يا مرتضي يا معرص وعاوز تشتت الزمالك #ادعم_جروس,OFF,NOT_HS
RT @USER: 😁😁😁 يا مدحت يا شلبي يا ابو بيضه يا طعميه يا هلالي يا زعيقي يا طاقيه اذا كنت في نشوتك وفوز الهلال نراك تتحدث مصري واذا…,OFF,NOT_HS
اسئلك يا ملك يا من الملوك فقراء بين يديه اللهم اقضي حوائجنا و حوائج المسلمين اجمعين,NOT_OFF,NOT_HS
